name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
NYC,2017-07-01T00:00:00,25.7,25.7,20,70.59,0,0,,0,0,29.5,18,278,1015.1,35.4,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T01:00:00,25.1,25.1,20.5,75.82,0,0,,0,0,,9.5,238,1015.1,1.9,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T02:00:00,24.5,24.5,20.6,79.12,0,0,,0,0,,10.5,253,1014.8,27.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T03:00:00,23.9,23.9,20.6,81.5,0,0,,0,0,,15.6,237,1014.5,27.8,16,0,0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T04:00:00,23.9,23.9,20,79.16,0,0,,0,0,,12.6,248,1014.1,0.6,16,0,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T05:00:00,23.4,23.4,20.6,84.05,0,0,,0,0,,9.1,257,1014.5,1,16,7.6,0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T06:00:00,23.9,23.9,20.7,82.18,0,0,,0,0,,8.7,282,1014.8,46.5,16,95.5,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T07:00:00,23.9,23.9,21.2,84.49,0,0,,0,0,,1.2,160,1015.1,48.4,16,231.4,0.8,2,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T08:00:00,25.1,25.1,21.2,79.07,0,0,,0,0,,0.7,160,1015.5,49.6,16,363.5,1.3,4,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T09:00:00,26.1,26.1,21.7,76.39,0,0,,0,0,,5.7,160,1015.1,79,16,509.3,1.8,5,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T10:00:00,26.6,26.6,21.2,72.4,0,0,,0,0,,9.2,170,1014.5,50.6,16,676.5,2.4,7,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T11:00:00,28.1,31,22.2,70.08,0.178,100,rain,0,0,,13,218,1014.5,91.9,16,814.8,2.9,8,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T12:00:00,28.3,30.9,21.7,67.44,0,0,,0,0,,11.4,169,1013.8,53.1,16,878.3,3.2,9,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
NYC,2017-07-01T13:00:00,27.8,30.2,21.7,69.51,0,0,,0,0,37.1,16.2,180,1013.4,65.7,14.2,860.8,3.1,9,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KNYC,72503014732"
